ID,MFACTOR,EFACTOR,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,STATUS
245,22,B,3,2.236,2.449,2.236,2,2.449,2.646,2.646,2.449,2.646,2.449,2.449,2.646,3,2.828,2.828,3,3,2.828,2.646,2.828,2.449,2.646,2.236,2.828,1.414,2.646,2.828,2.449,2.449,2,1.414,3.464,3.606,4.359,3.162,0
246,22,B,3.464,3.464,3.317,3.317,3.317,3.606,3.464,3.873,3.464,3.317,3.162,4.243,1.414,2.449,2.449,2.449,3.162,2.236,2,2,1.732,1.732,2,2,2,2,2,2.236,2.449,1,3.317,3.742,3.742,3.464,3.742,4,2
247,22,B,2,2.449,1,2.236,1.414,3,2.828,2.828,2.828,3,2.828,3.162,2.828,2.449,2.828,3,2.646,3.742,2.449,2.449,2.646,2.646,2.449,2.449,2.646,2.449,3,3.317,3,2,2.236,3,3,2.828,3,2.646,1
248,46,B,1.732,1.732,2,1.732,2,2,2.236,2,2,2,2.449,2.236,2.646,2.449,2.236,2.646,2.449,2.646,2.646,2.828,2.646,2.646,2.449,2.646,2.449,2.646,2.449,2.828,2.646,2.646,3.162,3,2.828,2.646,2.646,2.646,2
249,46,B,3,3,3,2.646,4.899,3,2.646,3,2.828,3.464,2.828,2.828,3,3.162,2.236,2.828,2.646,2.449,2.449,2.646,2.236,2.449,2.236,2.646,2.449,2.236,2.449,2.236,2.236,2,2.236,4.583,4.359,3.464,3.162,1.414,1
250,22,B,2.449,2.646,2.828,2.449,2.646,2.646,2.646,2.646,2,2,2.236,2,2,2,2.449,2.449,2.646,2.449,2.236,2.449,2.449,2.449,2.646,2.449,2.449,2.449,2,2,2.236,2.236,2,2,2.449,3,2.236,1.414,2
251,22,B,5.477,2.236,3.464,3.162,3.742,3.606,3.162,3.606,3,3,2.828,2.646,2.646,2.449,2.828,2.646,3.464,3.606,3.162,2.828,3,3.464,3.464,4.123,3.162,3.464,3.162,3.162,3.742,3.317,3,3.606,3.317,3.162,3.317,2.449,2
252,22,B,3.873,3.873,4.123,4.243,4.583,5,4.359,3.464,3.464,3.317,3.873,3.742,3.742,3.464,4,4.243,4.123,3.742,3.742,3.317,3.162,2.646,2.828,3.317,2.646,2.646,2.646,2.449,3.317,2.449,2.449,2.646,2.646,2.449,2.828,2.828,0
253,22,A,3.162,3.317,3.162,3.317,3.606,4.243,3.873,3.464,3.606,3.873,3.317,3.162,3,3.162,3,3.162,3.464,3.317,2.828,3.162,3.162,3.162,2.828,3,3.464,3.873,4,3.606,3.464,3.464,3.464,3.873,3.873,4.359,4,3.606,1
254,22,A,3.162,3.162,3,3.162,1.414,4.123,3.873,4.583,4.123,4.123,4.123,3.742,3.464,3.464,3.606,3.464,3.606,4,2.236,1.414,1.732,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1,1.414,1.414,1.414,1.414,1.414,1.732,1
255,22,A,3,2.828,3.162,2.828,2.646,2.449,2.236,2.449,2.449,2.646,2.236,2.449,2.236,2.236,2,2.236,2.236,2.646,2.646,2.449,2.236,2,2.236,2.449,2.236,2,2,2.236,2.449,2.236,2,2.646,2,2.828,2.236,2.646,2
256,22,A,2.646,2.646,2.646,2.236,2.828,2.646,2.449,1.732,2.236,2.236,2,1.732,2.236,1.732,1.414,1.732,2,3.317,2.236,1.732,2.236,2.236,2,1.414,1.732,2.236,2,2.236,2.236,2.236,2.449,2.646,2.236,2,2.236,2,2
257,2,A,2.828,3,2.449,2.236,2.236,2,2,2,2.236,2,2.236,2.236,1.732,3.162,3.162,3.317,3,2.646,3,3.317,2.236,2.646,2.828,2.236,2.449,1.732,2.449,2.236,2.646,2.449,2.236,2.449,1.732,2.236,2.236,2,2
258,22,A,4.899,4.899,5.196,4.123,3.162,5.292,5.196,3.317,2,2.236,2.449,2.236,2.646,2.646,2.828,2,2,2.236,2.646,2.236,2.449,2.449,3.317,3.606,3.606,2.828,2.828,3.317,2.236,2,2.646,2,2.449,2.236,2.828,1.732,1
259,22,B,4.123,4.472,4.359,4.123,4.243,4.472,4.583,4.899,4.69,4.899,4.796,5,5.099,4.899,4.796,4.899,4.69,4.796,5,5.568,3.873,2.646,3.162,2.449,3.317,2.449,3.317,4.472,4,4.243,3.873,3.873,4,4,3.464,3.606,2
260,22,A,3,3,3.317,3,3.317,3.873,3.162,3.606,2.646,1.414,3,2.828,2.828,4,3,3,3.464,2.236,3,3.162,3.162,3,3.162,3.606,3.606,2.646,3.317,3.162,3.317,3,3.606,4.359,2.236,3,2.828,2.449,1
261,47,B,2.646,2.236,2.236,2,1,1.414,1.732,2,1.732,1.732,1.732,2,1.732,2.236,2.236,2,1.732,1.732,1.414,2,2,1.414,1.732,2.236,2,1.732,2.236,2,1.732,2,2,2,2,1.732,2,1.732,0
262,22,B,2.646,2.449,2.828,2.646,2.646,2.449,2.236,2.646,2.449,2.828,2.646,2.449,2.646,2.449,2.449,2.646,2.646,2.449,2.449,2.828,2.828,2.828,2.828,3.317,2.828,3.317,3,3,3.464,3,3,3,3.162,3.162,2.828,3.317,1
263,22,A,1.732,2.236,2.236,2.828,3.464,3.317,2.828,2.449,2.646,2.646,2,2.646,2.646,2.449,2.828,2.828,2.449,3,2.828,2.646,2.646,3,2.828,2.449,2.828,2.449,2.449,2.646,2.646,2.646,2.646,2,1.732,1.414,1.414,1.414,0
264,22,B,2.646,2.646,2.828,2,2.646,2.828,2.646,2.449,2.449,2.646,2.646,2.236,2.449,2.646,2.449,2.449,2.236,2.449,2.449,2.646,2.646,2.236,2.449,2.236,2.449,2.646,2.449,2.449,2.449,2,2.236,2,1,2,2,2,1
265,22,B,5.099,5.568,4.583,5.099,5.568,6.557,4.899,4.69,4.583,5.292,4.359,4.69,4.583,4.69,4.583,4.899,4.472,3.873,3.606,4.123,5.099,5.292,5.385,5.745,6.708,5.745,3.464,4.243,4.583,4.123,4.359,5.099,4.359,4.583,2,4,0
266,22,B,4.243,3.162,2.646,3,3.606,3.162,2.646,2.236,2.646,2.236,2.236,1.732,1.414,2,2,1,1.414,1.414,1.732,1.732,1.414,2,1.732,1.414,1,2.236,2.449,2,2.449,2.646,2,2.646,2.646,2,1.414,1.732,0
267,22,B,4.796,4.899,4.796,4.796,5.385,5.568,5.196,4.899,4.899,4.899,4.899,4.899,4.899,4.796,4.899,4.583,5,5.196,4.796,4.899,1.732,5.099,5.099,5.099,5.099,5,5,5.099,4.359,1,4.359,1,3.606,2.646,2.449,1.732,1
