ID,Met,Norte,Rio,Sor,Socc,Valor de vivienda,Area,Habitaciones,Garajes,Baños,Casa,Apartamento,E_Bajo,E_Medio,E_Alto,D_Parques,D_salud,D_Comercios,D_Centros educativos,D_Transmetro ,D_Bus,R_Bajo,R_Medio,R_Alto,S_Bajo,S_Medio,S_Alto,Residencial,Comercial,Institucional,Otros,Densidad
123,0,0,0,1,0,170,140,3,0,1,1,0,0,1,0,444.00,344.00,87.00,125.50,1.595.00,52.00,1,0,0,0,1,0,1,0,0,0,0.04
124,0,0,0,1,0,138,55,2,0,1,0,1,1,0,0,59.00,79.00,184.00,95.40,1.753.00,71.00,1,0,0,0,1,0,1,0,0,0,0.05
125,0,0,0,1,0,310,236,5,1,2,1,0,1,0,0,264.00,365.00,302.00,266.80,1.032.00,116.00,1,0,0,0,1,0,1,0,0,0,0.03
126,0,0,0,1,0,290,290,4,0,1,1,0,0,1,0,207.00,430.00,314.00,164.70,991.00,107.00,1,0,0,0,1,0,1,0,0,0,0.02
127,0,0,0,1,0,220,86,3,1,2,0,1,0,1,0,194.00,373.00,301.00,127.70,847.00,7.00,0,1,0,0,1,0,1,0,0,0,0.02
128,0,0,0,1,0,136,58,2,1,2,0,1,1,0,0,466.00,370.00,55.00,288.10,1.106.00,50.00,0,1,0,0,1,0,0,1,0,0,0.05
129,0,0,0,1,0,200,150,5,0,2,1,0,1,0,0,176.00,115.00,63.00,349.60,664.00,23.00,0,0,1,0,1,0,1,0,0,0,0.02
130,0,0,0,1,0,275,202,4,1,2,1,0,1,0,0,308.00,380.00,87.00,252.50,1.199.00,94.00,0,0,1,0,1,0,1,0,0,0,0.06
131,0,0,0,1,0,150,54,2,1,2,0,1,1,0,0,132.00,332.00,20.00,114.40,667.00,11.00,0,1,0,0,1,0,1,0,0,0,0.03
132,0,0,0,1,0,440,221,4,1,3,1,0,0,1,0,844.00,457.00,151.00,288.40,848.00,149.00,0,1,0,0,1,0,1,0,0,0,0.04
133,0,0,0,1,0,280,100,3,0,1,1,0,1,0,0,410.00,312.00,267.00,232.10,931.00,124.00,0,1,0,0,1,0,1,0,0,0,0.03
134,0,0,1,0,0,690,220,3,2,4,0,1,0,0,1,169.00,192.00,171.00,204.60,208.00,74.00,0,1,0,0,0,1,1,0,0,0,0.00
135,0,0,1,0,0,640,210,3,2,4,0,1,0,0,1,174.00,147.00,72.00,167.10,118.00,119.00,0,1,0,0,0,1,1,0,0,0,0.02
136,0,0,1,0,0,1900,367,4,1,5,0,1,0,0,1,212.00,128.00,286.00,182.60,131.00,138.00,1,0,0,0,0,1,1,0,0,0,0.02
137,0,0,1,0,0,510,129,3,2,3,0,1,0,1,0,66.00,288.00,185.00,169.40,259.00,267.00,0,1,0,0,0,1,1,0,0,0,0.02
138,0,0,1,0,0,3500,800,5,3,5,1,0,0,0,1,149.00,321.00,87.00,208.20,189.00,187.00,0,1,0,0,0,1,1,0,0,0,0.01
139,0,0,1,0,0,500,194,3,1,3,0,1,0,0,1,162.00,202.00,178.00,169.30,215.00,79.00,0,1,0,0,0,1,1,0,0,0,0.00
140,0,0,1,0,0,2100,217,3,2,4,0,1,0,0,1,121.00,92.00,281.00,135.00,225.00,79.00,1,0,0,0,0,1,1,0,0,0,0.00
141,0,0,1,0,0,630,198,3,1,4,0,1,0,0,1,133.00,289.00,129.00,125.50,279.00,213.00,0,1,0,0,0,1,1,0,0,0,0.02
142,0,0,1,0,0,2500,460,3,2,4,1,0,0,0,1,164.00,166.00,108.00,57.90,161.00,80.00,0,1,0,0,0,1,1,0,0,0,0.01
143,0,0,1,0,0,2500,289,3,3,4,0,1,0,0,1,84.00,178.00,104.00,46.40,194.00,196.00,0,1,0,0,0,1,1,0,0,0,0.02
